id;title;description;release_year;age_certification;runtime;genre;countries;imdb_score;imdb_votes;cast
tm82169;Rocky;When world heavyweight boxing champion, Apollo Creed wants to give an unknown fighter a shot at the title as a publicity stunt, his handlers choose palooka Rocky Balboa, an uneducated collector for a Philadelphia loan shark. Rocky teams up with trainer  Mickey Goldmill to make the most of this once in a lifetime break.;1976;PG;119;drama;US;8.1;588100.0;"Sylvester Stallone, Talia Shire, Burt Young, Carl Weathers, Burgess Meredith, Thayer David, Joe Spinell, Jimmy Gambina, Bill Baldwin, Al Silvani, George Memmoli, Jodi Letizia, Diana Lewis, ""George OHanlon"", Larry Carroll, Stan Shaw, Don Sherman, Billy Sands, Pedro Lovell, DeForest Covan, Simmy Bow, Tony Burton, Hank Rolike, ""Shirley OHara"", Kathleen Parker, Frank Stallone, Lloyd Kaufman, Jane Marla Robbins, Jack Hollander, Joe Sorbello, Christopher Avildsen, Frankie Van, Lou Fillipo, Paris Eagle, Frank Stallone, Robert L. Tangrea, Peter Glassberg, William E. Ring, Joseph C. Giambelluc, Joe Frazier, Butkus Stallone, Michael Dorn, Arnold Johnson, Stu Nahan, Frank Pesce, Lavelle Roby, Arthur Tovey, John Pleshette, Butkus Stallone, John G. Avildsen"
tm17823;Grease;Australian good girl Sandy and greaser Danny fell in love over the summer. But when they unexpectedly discover they're now in the same high school, will they be able to rekindle their romance despite their eccentric friends?;1978;PG;110;romance;US;7.2;283316.0;John Travolta, Olivia Newton-John, Stockard Channing, Jeff Conaway, Barry Pearl, Michael Tucci, Kelly Ward, Didi Conn, Jamie Donnelly, Dinah Manoff, Eve Arden, Frankie Avalon, Joan Blondell, Edd Byrnes, Sid Caesar, Alice Ghostley, Dody Goodman, Susan Buckner, Lorenzo Lamas, Fannie Flagg, Dick Patterson, Eddie Deezen, Darrell Zwerling, Ellen Travolta, Annette Charles, Dennis Stewart, Barbi Alison, Helena Andreyko, Jennifer Buchanan, Carol Culver, Cindy DeVore, Deborah Fishman, Antonia Franceschi, Sandra Gray, Mimi Lieber, Judy Susman, Larry Dusich, John Robert Garrett, Daniel Levins, Sean Moran, Greg Rosatti, Andy Roth, Lou Spadaccini, Andy Tennant, Richard Weisman, Michael Biehn, Wendie Jo Sperber, Randal Kleiser
tm191099;The Sting;A novice con man teams up with an acknowledged master to avenge the murder of a mutual friend by pulling off the ultimate big con and swindling a fortune from a big-time mobster.;1973;PG;129;crime;US;8.3;266738.0;"Paul Newman, Robert Redford, Robert Shaw, Charles Durning, Ray Walston, Eileen Brennan, Harold Gould, John Heffernan, Dana Elcar, Jack Kehoe, Dimitra Arliss, Robert Earl Jones, James Sloyan, Charles Dierkop, Lee Paul, Sally Kirkland, Avon Long, Arch Johnson, Ed Bakey, Brad Sullivan, John Quade, Larry D. Mann, Leonard Barr, Paulene Myers, Joe Tornatore, Jack Collins, Tom Spratley, ""Kenneth OBrien"", Ken Sansom, Ta-Tanisha, William Benedict, Robert Brubaker, Kathleen Freeman, Susan French, Bruce Kimball, Alexander Lockwood, Chuck Morrell, Byron Morrow, Pearl Shear, Arthur Tovey, Guy Way, Jim Michael, George Roy Hill"
tm69975;Rocky II;"After Rocky goes the distance with champ Apollo Creed, both try to put the fight behind them and move on. Rocky settles down with Adrian but can't put his life together outside the ring, while Creed seeks a rematch to restore his reputation. Soon enough, the ""Master of Disaster"" and the ""Italian Stallion"" are set on a collision course for a climactic battle that is brutal and unforgettable.";1979;PG;119;drama;US;7.3;216307.0;"Sylvester Stallone, Talia Shire, Burt Young, Carl Weathers, Burgess Meredith, Tony Burton, Joe Spinell, Leonard Gaines, Butkus Stallone, Sylvia Meals, Frank McRae, Al Silvani, John Pleshette, Stu Nahan, Bill Baldwin, Jerry Ziesmer, Paul Micale, Earl Montgomery, Herb Nanas, Stuart K. Robinson, Frank Stallone, Charles ""Honi"" Coles, Doug Flor, Robert Kondyra, James Zazzarino, ""Eddie El Annimal Lopez"", Taurean Blacque, James J. Casino, Shaka Cumbuka, Roberto Durán, Lou Fillipo, Ruth Ann Flynn, Grainger Hines, Garrie Kelly, Ava Lazar, Joseph Letizia, René Le Vant, Tawny Little, Paul McCrane, Sonny Melendrez, Tony Munafo, Brent Musburger, Ed Ness, Fred Pinkard, Jane Marla Robbins, Hank Rolike, David L. Ross, Fran Ryan, Whitney Rydbeck, Shepherd Sanders, Jeff Temkin, Allan Warnick, Charles Winkler, James Zaza, Samuel Davis, Rutanya Alda, Butkus Stallone, Sylvester Stallone"
tm127384;Monty Python and the Holy Grail;"King Arthur, accompanied by his squire, recruits his Knights of the Round Table, including Sir Bedevere the Wise, Sir Lancelot the Brave, Sir Robin the Not-Quite-So-Brave-As-Sir-Lancelot and Sir Galahad the Pure. On the way, Arthur battles the Black Knight who, despite having had all his limbs chopped off, insists he can still fight. They reach Camelot, but Arthur decides not  to enter, as ""it is a silly place"".";1975;PG;91;fantasy;GB;8.2;547292.0;Graham Chapman, John Cleese, Eric Idle, Terry Gilliam, Terry Jones, Michael Palin, Connie Booth, Carol Cleveland, Neil Innes, Bee Duffell, John Young, Rita Davies, Avril Stewart, Sally Kinghorn, Mark Zycon, Elspeth Cameron, Mitsuko Forstater, Sandy Johnson, Sandy Rose, Romilly Squire, Joni Flynn, Alison Walker, Loraine Ward, Anna Lanski, Sally Coombe, Vivienne MacDonald, Yvonne Dick, Daphne Darling, Fiona Gordon, Judy Lamb, Tracy Sneddon, Joyce Pollner, Mary Allen, Gloria Graham, Sylvia Taylor, Iain Banks, Julian Doyle, Margarita Doyle, Zack Matalon, Scott Mike, William Palin, Terry Jones, Tom Raeburn, Brian Ross, Roy Forge Smith, John Thornton, Maggie Weston, Terry Gilliam, Terry Jones
tm17249;Animal House;At a 1962 College, Dean Vernon Wormer is determined to expel the entire Delta Tau Chi Fraternity, but those troublemakers have other plans for him.;1978;R;109;comedy;US;7.4;123611.0;John Belushi, Tim Matheson, John Vernon, Verna Bloom, Tom Hulce, Cesare Danova, Peter Riegert, Mary Louise Weller, Stephen Furst, James Widdoes, Bruce McGill, Mark Metcalf, DeWayne Jessie, Karen Allen, James Daughton, Martha Smith, Sarah Holcomb, Lisa Baur, Kevin Bacon, Donald Sutherland, Douglas Kenney, Chris Miller, Bruce Bonnheim, Joshua Daniel, Sunny Johnson, Stacy Grooman, Eliza Roberts, Aseneth Jurgenson, Katherine Denning, Raymone Robinson, Robert Elliott, Reginald Farmer, Jebidiah R. Dumas, Priscilla Lauris, Rick Eby, John Freeman, Sean McCartin, Helen Vick, Rick Greenough, Stephen Bishop, John Landis, John Landis
tm70993;Life of Brian;Brian Cohen is an average young Jewish man, but through a series of ridiculous events, he gains a reputation as the Messiah. When he's not dodging his followers or being scolded by his shrill mother, the hapless Brian has to contend with the pompous Pontius Pilate and acronym-obsessed members of a separatist movement. Rife with Monty Python's signature absurdity, the tale finds Brian's life paralleling Biblical lore, albeit with many more laughs.;1979;R;94;comedy;GB;8.0;405022.0;Graham Chapman, John Cleese, Terry Gilliam, Eric Idle, Terry Jones, Michael Palin, Terence Bayler, Carol Cleveland, Kenneth Colley, Neil Innes, Charles McKeown, John Young, Gwen Taylor, Sue Jones-Davies, Peter Brett, John Case, Chris Langham, Andrew MacLachlan, Bernard McKenna, Spike Milligan, George Harrison, Terry Jones
tm16479;White Christmas;Two talented song-and-dance men team up after the war to become one of the hottest acts in show business. In time they befriend and become romantically involved with the beautiful Haynes sisters who comprise a sister act.;1954;;120;comedy;US;7.5;46586.0;Bing Crosby, Danny Kaye, Rosemary Clooney, Vera-Ellen, Dean Jagger, Mary Wickes, John Brascia, Anne Whitfield, Bea Allen, Frank Baker, Glen Cargyle, George Chakiris, Barrie Chase, Lorinne Crawford, Franklyn Farnum, Bess Flowers, Gavin Gordon, Johnny Grant, Percy Helton, I. Stanford Jolley, Sig Ruman, Grady Sutton, Herb Vigran, Robert Crosson, Michael Curtiz
tm91699;Heroes;A Vietnam veteran suffering from post traumatic stress disorder breaks out of a VA hospital and goes on a road trip with a sympathetic traveler to find out what became of the other men in his unit.;1977;PG;112;drama;US;6.0;1883.0;"Henry Winkler, Sally Field, Harrison Ford, Val Avery, Olivia Cole, Hector Elias, Dennis Burkley, Tony Burton, Michael Cavanaugh, Helen Craig, John P. Finnegan, Betty McGuire, ""John OLeary"", Tom Rosqui, Fred Stuthman, Caskey Swaim, Earle Towne, Kenneth Augustine, Rick Blanchard, Louis Carello, Robert Kretschmann, Alex Tinne, Dick Ziker, Ben Fuhrman, Bill Ackridge, Gary Bertz, Susan Bredhoff, William H. Burton Jr., David R. Ellis, James W. Gavin, Pat Hustis, Bennie Moore, John Cassavetes, Bob Harks, Stuart Margolin, William Watson, James Worth, Jeremy Kagan"
tm12775;Play Misty for Me;A brief fling between a male disc jockey and an obsessed female fan takes a frightening, and perhaps even deadly turn when another woman enters the picture.;1971;R;102;drama;US;6.9;29706.0;Clint Eastwood, Jessica Walter, Donna Mills, John Larch, Jack Ging, Irene Hervey, James McEachin, Clarice Taylor, Don Siegel, Duke Everts, George Fargo, Mervin W. Frates, Tim Frawley, Otis Kadani, Brit Lind, Paul E. Lippman, Jack Kosslyn, Ginna Patterson, Malcolm Moran, Cannonball Adderley, Boyd Cabeen, Barbara Chrysler, Don Hamilton, Robert S. Holman, Johnny Otis, Walter Scott, Walter Spear, William Tomlinson, Clint Eastwood
